City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,250.1,100,100,3.01,RU,1702353204
1,nuuk,64.1835,-51.7216,274.49,93,100,20.06,GL,1702353205
2,hamilton,39.1834,-84.5333,273.7,83,0,3.09,US,1702352493
3,waitangi,-43.9535,-176.5597,288.05,93,100,3.13,NZ,1702353206
4,ankang,32.68,109.0172,283.24,68,98,1.21,CN,1702353206
5,polyarnyy,69.1989,33.4478,257.34,97,23,4.75,RU,1702353207
6,port-aux-francais,-49.35,70.2167,279.2,96,100,7.63,TF,1702353207
7,flying fish cove,-10.4217,105.6791,300.97,69,40,4.12,CX,1702353208
8,adamstown,-25.066,-130.1015,294.92,63,66,1.59,PN,1702353208
9,blackmans bay,-43.0167,147.3167,296.77,46,100,0.89,AU,1702353209
10,kodiak,57.79,-152.4072,269.88,63,0,2.57,US,1702353209
11,lorengau,-2.0226,147.2712,302.82,76,96,6.65,PG,1702353210
12,bredasdorp,-34.5322,20.0403,289.34,61,100,4.87,ZA,1702353210
13,plymouth,41.8334,-70.8328,277.1,70,0,6.17,US,1702353211
14,suva,-18.1416,178.4415,300.86,74,20,5.66,FJ,1702353211
15,aykhal,66.0,111.5,246.45,99,100,2.25,RU,1702353212
16,edinburgh of the seven seas,-37.0676,-12.3116,287.45,93,100,8.8,SH,1702353212
17,kaele,10.1092,14.4508,291.66,32,52,4.98,CM,1702353213
18,puerto natales,-51.7236,-72.4875,278.73,92,88,2.66,CL,1702353213
19,plettenberg bay,-34.0527,23.3716,289.62,72,20,4.18,ZA,1702353214
20,ribeira grande,38.5167,-28.7,286.91,78,2,2.68,PT,1702353214
21,saipan,15.1355,145.701,303.54,74,20,6.17,MP,1702353215
22,port alfred,-33.5906,26.891,290.47,92,7,2.68,ZA,1702353215
23,kapa'a,22.0752,-159.319,300.14,86,40,3.6,US,1702353191
24,grytviken,-54.2811,-36.5092,274.56,76,7,1.76,GS,1702353216
25,de queen,34.0379,-94.3413,280.94,87,0,0.0,US,1702353216
26,olonkinbyen,70.9221,-8.7187,273.01,99,100,1.2,SJ,1702353217
27,ushuaia,-54.8,-68.3,282.96,57,20,2.06,AR,1702353079
28,changsha,28.2,112.9667,279.24,58,51,3.15,CN,1702353218
29,san patricio,28.017,-97.5169,291.06,60,99,2.83,US,1702353218
30,happy valley-goose bay,53.3168,-60.3315,271.32,86,100,4.63,CA,1702353219
31,camabatela,-8.1881,15.375,290.65,99,100,0.29,AO,1702353220
32,ovalle,-30.5983,-71.2003,292.49,63,0,1.05,CL,1702353220
33,albany,42.6001,-73.9662,273.76,78,56,3.52,US,1702353221
34,sinabang,2.4803,96.3801,298.18,92,100,1.41,ID,1702353221
35,kupang,-10.1667,123.5833,303.47,84,75,4.12,ID,1702353171
36,galliano,29.4422,-90.2992,280.93,93,0,0.0,US,1702353222
37,alice springs,-23.7,133.8833,301.9,23,1,4.12,AU,1702353222
38,papatowai,-46.5619,169.4708,283.86,60,78,9.23,NZ,1702353223
39,port mathurin,-19.6833,63.4167,299.24,76,15,5.42,MU,1702353223
40,ust'-uda,54.1742,103.0304,243.75,91,14,0.48,RU,1702353224
41,geraldton,-28.7667,114.6,310.38,11,0,5.14,AU,1702353224
42,san andres,12.5847,-81.7006,301.16,83,20,6.69,CO,1702353224
43,bethel,41.3712,-73.414,275.62,60,75,4.63,US,1702353225
44,san luis de la loma,17.2706,-100.8939,298.55,67,42,2.04,MX,1702353225
45,qaqortoq,60.7167,-46.0333,273.2,96,100,3.49,GL,1702353225
46,ostashkov,57.1467,33.1075,268.96,95,100,4.31,RU,1702353226
47,lucapa,-8.4192,20.7447,291.74,99,100,1.16,AO,1702353226
48,iqaluit,63.7506,-68.5145,258.0,72,75,4.12,CA,1702353227
49,stanley,54.868,-1.6985,278.58,96,40,1.54,GB,1702353227
50,tartu,58.3806,26.7251,270.29,93,100,3.6,EE,1702353178
51,wailua homesteads,22.0669,-159.378,299.39,86,40,3.6,US,1702353228
52,dazuocun,24.8862,118.9643,291.5,87,98,12.08,CN,1702353228
